Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.16
load ops/sec: 3105590
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 269578 reads, 0 truncates, 269578 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (176 total secs)
0 inserts, 0 modifies, 248991 reads, 0 truncates, 248990 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (178 total secs)
0 inserts, 0 modifies, 323656 reads, 0 truncates, 323656 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (180 total secs)
0 inserts, 0 modifies, 301043 reads, 0 truncates, 301045 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (182 total secs)
0 inserts, 0 modifies, 313590 reads, 0 truncates, 313589 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (184 total secs)
0 inserts, 0 modifies, 287013 reads, 0 truncates, 287013 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (186 total secs)
0 inserts, 0 modifies, 276680 reads, 0 truncates, 276679 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (188 total secs)
0 inserts, 0 modifies, 317241 reads, 0 truncates, 317242 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (190 total secs)
0 inserts, 0 modifies, 163803 reads, 0 truncates, 163802 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (192 total secs)
0 inserts, 0 modifies, 318106 reads, 0 truncates, 318106 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (194 total secs)
0 inserts, 0 modifies, 260216 reads, 0 truncates, 260219 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (196 total secs)
0 inserts, 0 modifies, 243822 reads, 0 truncates, 243821 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (198 total secs)
0 inserts, 0 modifies, 256763 reads, 0 truncates, 256763 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (200 total secs)
0 inserts, 0 modifies, 311820 reads, 0 truncates, 311819 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (202 total secs)
0 inserts, 0 modifies, 320171 reads, 0 truncates, 320170 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (204 total secs)
0 inserts, 0 modifies, 158398 reads, 0 truncates, 158400 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (206 total secs)
0 inserts, 0 modifies, 319096 reads, 0 truncates, 319094 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (208 total secs)
0 inserts, 0 modifies, 245174 reads, 0 truncates, 245176 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (210 total secs)
0 inserts, 0 modifies, 271523 reads, 0 truncates, 271522 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (212 total secs)
0 inserts, 0 modifies, 321387 reads, 0 truncates, 321388 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (214 total secs)
0 inserts, 0 modifies, 190483 reads, 0 truncates, 190481 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (216 total secs)
0 inserts, 0 modifies, 322992 reads, 0 truncates, 322992 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (218 total secs)
0 inserts, 0 modifies, 277437 reads, 0 truncates, 277436 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (220 total secs)
0 inserts, 0 modifies, 310990 reads, 0 truncates, 310991 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (222 total secs)
0 inserts, 0 modifies, 318774 reads, 0 truncates, 318776 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (224 total secs)
0 inserts, 0 modifies, 78797 reads, 0 truncates, 78795 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (226 total secs)
0 inserts, 0 modifies, 311429 reads, 0 truncates, 311429 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (228 total secs)
0 inserts, 0 modifies, 248321 reads, 0 truncates, 248324 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (230 total secs)
0 inserts, 0 modifies, 246644 reads, 0 truncates, 246642 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (232 total secs)
0 inserts, 0 modifies, 299556 reads, 0 truncates, 299556 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (234 total secs)
0 inserts, 0 modifies, 171900 reads, 0 truncates, 171901 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (236 total secs)
