Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 321644 reads, 0 truncates, 321645 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (184 total secs)
0 inserts, 0 modifies, 326985 reads, 0 truncates, 326984 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (186 total secs)
0 inserts, 0 modifies, 268486 reads, 0 truncates, 268485 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (188 total secs)
0 inserts, 0 modifies, 192729 reads, 0 truncates, 192731 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (190 total secs)
0 inserts, 0 modifies, 322318 reads, 0 truncates, 322315 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (192 total secs)
0 inserts, 0 modifies, 318538 reads, 0 truncates, 318542 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (194 total secs)
0 inserts, 0 modifies, 255804 reads, 0 truncates, 255802 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (196 total secs)
0 inserts, 0 modifies, 295011 reads, 0 truncates, 295011 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (198 total secs)
0 inserts, 0 modifies, 305442 reads, 0 truncates, 305441 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (200 total secs)
0 inserts, 0 modifies, 237444 reads, 0 truncates, 237445 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (202 total secs)
0 inserts, 0 modifies, 314949 reads, 0 truncates, 314950 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (204 total secs)
0 inserts, 0 modifies, 270706 reads, 0 truncates, 270705 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (206 total secs)
0 inserts, 0 modifies, 257163 reads, 0 truncates, 257163 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (208 total secs)
