Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 164577 reads, 0 truncates, 164576 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (178 total secs)
0 inserts, 0 modifies, 222168 reads, 0 truncates, 222169 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (180 total secs)
0 inserts, 0 modifies, 222469 reads, 0 truncates, 222468 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (182 total secs)
0 inserts, 0 modifies, 208409 reads, 0 truncates, 208407 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (184 total secs)
0 inserts, 0 modifies, 226659 reads, 0 truncates, 226660 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (186 total secs)
0 inserts, 0 modifies, 212704 reads, 0 truncates, 212704 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (188 total secs)
0 inserts, 0 modifies, 225230 reads, 0 truncates, 225231 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (190 total secs)
0 inserts, 0 modifies, 221286 reads, 0 truncates, 221284 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (192 total secs)
0 inserts, 0 modifies, 223864 reads, 0 truncates, 223867 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (194 total secs)
0 inserts, 0 modifies, 224894 reads, 0 truncates, 224893 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (196 total secs)
0 inserts, 0 modifies, 224059 reads, 0 truncates, 224059 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (198 total secs)
0 inserts, 0 modifies, 220246 reads, 0 truncates, 220247 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (200 total secs)
0 inserts, 0 modifies, 226183 reads, 0 truncates, 226182 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (202 total secs)
0 inserts, 0 modifies, 223616 reads, 0 truncates, 223616 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (204 total secs)
0 inserts, 0 modifies, 224259 reads, 0 truncates, 224259 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (206 total secs)
0 inserts, 0 modifies, 224398 reads, 0 truncates, 224398 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (208 total secs)
0 inserts, 0 modifies, 222566 reads, 0 truncates, 222565 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (210 total secs)
0 inserts, 0 modifies, 221320 reads, 0 truncates, 221321 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (212 total secs)
0 inserts, 0 modifies, 220350 reads, 0 truncates, 220351 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (214 total secs)
0 inserts, 0 modifies, 223845 reads, 0 truncates, 223844 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (216 total secs)
0 inserts, 0 modifies, 224603 reads, 0 truncates, 224604 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (218 total secs)
0 inserts, 0 modifies, 222942 reads, 0 truncates, 222940 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (220 total secs)
